ScenarioId,QuestionId,Question,Answer
1,1,Where were you at twenty to twelve?,the speaker was in the study at twenty to twelve
1,2,Were you in the study at any point?,the speaker was in the study at some point
1,3,When did you last see Sir Edmund?,the speaker saw Sir Edmund at or after twenty to twelve
1,4,Did you have any part in Sir Edmund's death?,the speaker had a part in Sir Edmund's death
2,1,Where were you at twenty to twelve?,the speaker was in the study at twenty to twelve
2,2,Were you in the study at any point?,the speaker was in the study at some point
2,3,When did you last see Sir Edmund?,the speaker saw Sir Edmund at or after twenty to twelve
2,4,Did you have any part in Sir Edmund's death?,the speaker had a part in Sir Edmund's death
3,1,Where were you at twenty to twelve?,the speaker was in the study at twenty to twelve
3,2,Were you in the study at any point?,the speaker was in the study at some point
3,3,When did you last see Sir Edmund?,the speaker saw Sir Edmund at or after twenty to twelve
3,4,Did you have any part in Sir Edmund's death?,the speaker had a part in Sir Edmund's death
4,1,Where were you at twenty past eight?,the speaker was in the hold at twenty past eight
4,2,Were you in the hold at any point?,the speaker was in the hold at some point
4,3,When did you last see Palsson?,the speaker saw Palsson at or after twenty past eight
4,4,Did you have any part in Palsson's death?,the speaker had a part in Palsson's death
5,1,Where were you at twenty past eight?,the speaker was in the hold at twenty past eight
5,2,Were you in the hold at any point?,the speaker was in the hold at some point
5,3,When did you last see Palsson?,the speaker saw Palsson at or after twenty past eight
5,4,Did you have any part in Palsson's death?,the speaker had a part in Palsson's death
6,1,Where were you at twenty past eight?,the speaker was in the hold at twenty past eight
6,2,Were you in the hold at any point?,the speaker was in the hold at some point
6,3,When did you last see Palsson?,the speaker saw Palsson at or after twenty past eight
6,4,Did you have any part in Palsson's death?,the speaker had a part in Palsson's death
7,1,Where were you at half past five?,the speaker was in the east corridor at half past five
7,2,Were you in the east corridor at any point?,the speaker was in the east corridor at some point
7,3,When did you last see Sandvik?,the speaker saw Sandvik at or after half past five
7,4,Did you have any part in Sandvik's death?,the speaker had a part in Sandvik's death
8,1,Where were you at half past five?,the speaker was in the east corridor at half past five
8,2,Were you in the east corridor at any point?,the speaker was in the east corridor at some point
8,3,When did you last see Sandvik?,the speaker saw Sandvik at or after half past five
8,4,Did you have any part in Sandvik's death?,the speaker had a part in Sandvik's death
9,1,Where were you at half past five?,the speaker was in the east corridor at half past five
9,2,Were you in the east corridor at any point?,the speaker was in the east corridor at some point
9,3,When did you last see Sandvik?,the speaker saw Sandvik at or after half past five
9,4,Did you have any part in Sandvik's death?,the speaker had a part in Sandvik's death
10,1,Where were you at eleven?,the speaker was in the tea room at eleven
10,2,Were you in the tea room at any point?,the speaker was in the tea room at some point
10,3,When did you last see Kanda?,the speaker saw Kanda at or after eleven
10,4,Did you have any part in Kanda's death?,the speaker had a part in Kanda's death
11,1,Where were you at eleven?,the speaker was in the tea room at eleven
11,2,Were you in the tea room at any point?,the speaker was in the tea room at some point
11,3,When did you last see Kanda?,the speaker saw Kanda at or after eleven
11,4,Did you have any part in Kanda's death?,the speaker had a part in Kanda's death
12,1,Where were you at eleven?,the speaker was in the tea room at eleven
12,2,Were you in the tea room at any point?,the speaker was in the tea room at some point
12,3,When did you last see Kanda?,the speaker saw Kanda at or after eleven
12,4,Did you have any part in Kanda's death?,the speaker had a part in Kanda's death
13,1,Where were you at twenty-five to four?,the speaker was in the flare deck at twenty-five to four
13,2,Were you in the flare deck at any point?,the speaker was in the flare deck at some point
13,3,When did you last see Ross?,the speaker saw Ross at or after twenty-five to four
