ScenarioId,QuestionId,Question,Answer
1,1,What was the exact date Victor Vance was found dead?,"Friday, October 13th"
1,2,At what time was Victor's body discovered?,11:15 PM
1,3,How old was Victor Vance?,42
1,4,In which specific room was the body found?,West Wing Conservatory
1,5,What is the name of Victor's smart-mansion?,'The Citadel'
1,6,What was the estimated time of death provided by the coroner?,Between 8:45 PM and 9:15 PM
1,7,What specific poison caused Victor's death?,Batrachotoxin
1,8,What vintage and type of wine was the poison introduced into?,1990 Chateau Margaux
1,9,How many suspects were present at the mansion that night?,4
1,10,At what time was Sarah Jenkins ousted from the board?,4:00 PM
1,11,How long had Elena Vance been married to Victor?,8 months
1,12,In how many days does Elena's restrictive prenup expire?,30 days
1,13,At what exact time did David Cho have his remote access revoked?,8:00 PM
1,14,How old is Marcus Thorne?,50
1,15,At what time did Marcus Thorne arrive for his unannounced meeting?,8:30 PM
2,1,What was the exact date Julian Sterling was killed?,"Tuesday, November 2nd"
2,2,At what time was Julian Sterling crushed?,1:45 AM
2,3,How old was Julian Sterling?,55
2,4,What is the name of the play they were rehearsing?,'The Weeping Willow'
2,5,In which theater did the incident occur?,Majestic Theater
2,6,How heavy was the sandbag that fell on Julian?,200 pounds
2,7,What was the thickness and material of the rope holding the sandbag?,1.5-inch hemp rope
2,8,How was the rope deliberately cut?,With a serrated blade
2,9,How many suspects are there in this case?,2
2,10,How old is Mia Thorne?,45
2,11,At what time did Mia have a screaming match with Julian?,11:30 PM
2,12,How old is Arthur Pendelton?,39
2,13,How much money was transferred from the production budget?,"$45,000 "
2,14,On what exact date was the money transferred?,October 28th
2,15,Where did Arthur transfer the embezzled funds?,To his personal offshore account
3,1,On what date was Agatha Black found dead?,"Sunday, January 15th"
3,2,What was the weather like on the day Agatha was found?,A blizzard
3,3,How old was Agatha Black?,62
3,4,In which room of the lodge was her body found?,The library
3,5,What is the name of the mountain lodge?,Blackwood Peaks
3,6,What was Agatha's time of death?,9:30 PM
3,7,What specific weapon was used to strike her?,A 3-pound solid brass candlestick
3,8,How much did the weapon weigh?,3 pounds
3,9,What is the title of the missing manuscript?,'The Final Cipher'
3,10,How many suspects are there in this scenario?,5
3,11,How much debt does Marcus Reed owe?,"$250,000 "
3,12,On what date was Thomas Black disinherited?,January 10th
