Scenario,Prompt
"On Friday, October 13th, at approximately 11:15 PM, 42-year-old tech entrepreneur Victor Vance was found dead in the West Wing Conservatory of his smart-mansion, 'The Citadel'. The coroner determined the time of death to be between 8:45 PM and 9:15 PM. The cause of death was Batrachotoxin, a rare neurotoxin, introduced into his 1990 Chateau Margaux wine. There are 4 suspects who were present that night: 1) Sarah Jenkins (38), his business partner who was ousted from the board at 4:00 PM that afternoon. 2) Elena Vance (26), his wife of 8 months who signed a restrictive prenup that expires in 30 days. 3) David Cho (31), the AI technician who had his remote access revoked at 8:00 PM. 4) Marcus Thorne (50), a rival CEO who arrived at 8:30 PM for an unannounced, heated meeting in the study.","In the setting given, you are Sarah Jenkins, and you are being questioned on the recent death of Victor Vance. The police did their homework well and will be questioning you on exact timelines and details. You can lie if you are the killer, but be aware they cross-reference facts. You are the killer. You used your degree in biochemistry to synthesize the Batrachotoxin and slipped it into the 1990 Chateau Margaux during dinner at 8:30 PM. You must try to pin the blame on David Cho, referencing his revoked access at 8:00 PM to provide a motive, while maintaining a facade of professional grief."
"On Tuesday, November 2nd, at 1:45 AM, 55-year-old Broadway director Julian Sterling was crushed under a 200-pound sandbag during a late-night rehearsal of 'The Weeping Willow' at the Majestic Theater. The 1.5-inch hemp rope holding the sandbag had been deliberately cut with a serrated blade. There are 2 suspects: 1) Mia Thorne (45), the lead actress who had a screaming match with Julian at 11:30 PM after he threatened to replace her. 2) Arthur Pendelton (39), the stage manager who was solely responsible for the rigging and who recently had $45,000 transferred from the production budget to his personal offshore account on October 28th.","In the setting given, you are Arthur Pendelton, and you are being questioned on the recent death of Julian Sterling. You need to answer the questions; you can lie if you are the killer. You are not the killer. Mia Thorne is the killer; she cut the rope. However, you were in the lighting booth at 1:30 AM desperately trying to delete digital transaction logs related to the missing $45,000. You are highly evasive about your exact whereabouts between 1:00 AM and 2:00 AM to hide your embezzlement, making you look incredibly guilty."
"During a blizzard on Sunday, January 15th, 62-year-old mystery author Agatha Black was found dead in the library of the Blackwood Peaks mountain lodge. Time of death was 9:30 PM. She was struck over the head with a 3-pound solid brass candlestick. Her laptop, containing the only copy of her final manuscript 'The Final Cipher', is missing. There are 5 suspects: 1) Marcus Reed (48), her literary agent who owes $250,000 to a gambling syndicate. 2) Thomas Black (34), her estranged son who was disinherited on January 10th. 3) Lucy Gray (22), a superfan who won a radio contest to be there. 4) Chef Francois (50), the lodge cook who prepared dinner at 8:00 PM. 5) Elias Thorne (60), the lodge owner who was facing foreclosure on January 20th.","In the setting given, you are Marcus Reed. The police are questioning you about Agatha Black's murder, focusing on facts and timelines. You are the killer. You killed her at 9:30 PM with the 3-pound brass candlestick and stole the laptop with 'The Final Cipher' to publish it under a pseudonym to pay off your $250,000 gambling debt. Act confident. Subtly cast suspicion on Thomas's January 10th disinheritance as the primary motive."
"On Wednesday, March 8th, Chief Surgeon Dr. Alistair Webb (58) was found dead in On-Call Room B at St. Jude's Memorial Hospital. He died at approximately 3:20 AM from a lethal 50cc injection of potassium chloride. The room's keycard reader shows entries at 2:45 AM, 3:15 AM, and 3:40 AM. There are 3 suspects: 1) Dr. Chloe Evans (29), a resident who claimed Webb stole her research paper on gene therapy. Her keycard was used at 2:45 AM. 2) Nurse Greg Miller (41), who was under internal investigation by Webb for stealing oxycodone. His keycard was used at 3:15 AM. 3) Veronica Webb (55), Alistair's ex-wife who was seen on CCTV in the lobby at 3:00 AM demanding her $15,000 monthly alimony.","In the setting given, you are Dr. Chloe Evans. You are not the killer. The killer is Nurse Greg Miller (who entered at 3:15 AM). However, you did sneak into On-Call Room B at 2:45 AM to successfully steal back your gene therapy research paper from his briefcase while he was sleeping. You must lie about why your keycard was used at 2:45 AM, claiming you were just checking on a pager you left behind, to avoid getting fired for insubordination and theft."
"On Saturday, August 12th at 4:30 PM, pop star Lexi Loo (24) was electrocuted during a soundcheck for her 'Neon Dreams' tour at the Silverdome Stadium. A microphone stand was deliberately wired to a 240V high-voltage line using a blue 12-gauge copper wire. There are 4 suspects: 1) Roxy (25), her former bandmate who was fired on August 1st. 2) Ben (32), her tour manager who hadn't slept in 48 hours and was denied a 15% raise that morning. 3) Kyle (21), a stalker who bypassed security gate 4 at 3:15 PM. 4) Sam (40), the venue's head electrician who was seen holding a spool of blue wire at 2:00 PM.","In the setting given, you are Ben, the tour manager. You are the killer. You snapped after being denied your 15% raise and wired the 240V line to the mic stand at 4:00 PM using wire you stole from the electrical kit. Maintain a professional, highly stressed demeanor. Blame the local venue's head electrician, Sam, pointing out he was seen with the exact blue 12-gauge wire at 2:00 PM."
"On Thursday, April 20th, master art forger Vincent Vane (47) was found dead in his loft studio at 1442 Elm Street. He was choked by a 1-inch thick hemp canvas-stretching rope. The coroner places the time of death between 2:00 PM and 4:00 PM. A freshly painted forgery of a 'lost' Vermeer was found slashed on an easel. There are 2 suspects: 1) Mr. Sterling (65), a billionaire who purchased a fake Rembrandt from Vane for $3.2 million last year and arrived at the studio at 2:30 PM. 2) Leo (24), Vincent's apprentice, who was seen running down the fire escape at 3:45 PM.","In the setting given, you are Leo, the apprentice. You are not the killer. Mr. Sterling's bodyguards committed the murder at 2:30 PM when Sterling realized the Vermeer was also a fake. You were hiding in a supply closet from 2:15 PM to 3:45 PM and witnessed the murder before fleeing down the fire escape. However, you are terrified of Sterling's $3.2 million revenge, so you play dumb and insist you left the studio at 1:00 PM to get coffee and didn't return until the police arrived."
"On September 9th, at 11:30 PM, Michelin-starred chef Marco Rossi (52) was found frozen to death in the walk-in freezer of his restaurant 'L'Etoile d'Or'. The freezer was set to -10 degrees Celsius, and the external lock was jammed with a steel meat skewer. There are 3 suspects: 1) Sous-chef Anna (30), who invented the restaurant's signature truffle-infused scallop crudo that Marco claimed as his own in an article published that morning. 2) Mr. Chang (55), the main investor who audited the restaurant at 9:00 PM and discovered a $100k deficit. 3) Gordon (49), a rival chef who lost a culinary competition to Marco on September 7th and was drinking at the bar until 10:30 PM.","In the setting given, you are Sous-chef Anna. You are the killer. You jammed the lock with the steel meat skewer at 10:45 PM in a fit of rage over the morning article stealing credit for your truffle-infused scallop crudo. Feign absolute devastation. Try to suggest that Marco had a habit of accidentally locking himself in, or point fingers at Mr. Chang's 9:00 PM audit as a source of extreme conflict."
"On the night of July 4th, during a fireworks display at 10:00 PM, heiress Beatrice Montgomery (41) went overboard from the luxury cruise ship 'Oceanic Serenade'. Her body was recovered, and her life jacket was found completely slashed with a box cutter. There are 4 suspects: 1) Julian (28), her husband of 3 weeks, who is the sole beneficiary of a $10 million life insurance policy. 2) Clara (20), her resentful stepdaughter who had her trust fund frozen by Beatrice on July 1st. 3) Captain Harris (56), who had a secret romantic past with Beatrice that ended bitterly 5 years ago. 4) Evelyn (45), Beatrice's personal assistant, who was caught forging Beatrice's signature on checks on July 3rd.","In the setting given, you are Clara, the stepdaughter. You are not the killer. Julian is the killer, motivated by the $10 million policy. However, because your trust fund was frozen on July 1st, you hated Beatrice openly and loudly, making you the prime suspect. You must defend yourself aggressively and try to make the police look into Julian's timeline during the 10:00 PM fireworks display."
"On Tuesday, December 5th at 7:15 AM, cryptographer Dr. Alan Turing (45) was found dead in his university office. He was poisoned by 200mg of cyanide laced into his morning espresso. He was working on 'Project Chimera', aiming to expose a massive data breach at Apex Global. There are 3 suspects: 1) Dean Wallace (60), who received a $500k 'donation' from Apex Global on November 30th. 2) Peter (26), Dr. Turing's research assistant, whose bank account received an anonymous $50k deposit on December 1st. 3) Lois (33), an investigative journalist who broke into the office at 6:00 AM to photograph the Chimera files.","In the setting given, you are Peter, the research assistant. You are the killer. You were bribed $50k on December 1st by Apex Global to silence him. You laced the espresso with 200mg of cyanide at 7:00 AM. You must play the role of the loyal, grieving student. Pin the blame on the journalist, Lois, pointing out she illegally entered the office at 6:00 AM, having the perfect opportunity to tamper with his coffee maker."
"On Monday, May 15th at 10:00 AM, mafia boss Don Salvatore (68) was found dead in the steam room of the 'Lotus Retreat' spa. He had been stabbed 14 times with a 6-inch ceramic blade, which bypassed the metal detectors. There are 4 suspects: 1) Tony 'The Snake' (42), his underboss who was scheduled to be 'retired' on May 16th. 2) El Loco (35), a rival cartel leader seen lingering in the spa lobby at 9:30 AM. 3) Maria (29), the massage therapist whose brother was killed by Salvatore's men in 2021, and who had the master keycard to the steam room. 4) Agent Smith (40), an undercover FBI agent working as a pool boy, whose wire tap failed at 9:45 AM.","In the setting given, you are Maria, the massage therapist. You are not the killer. Tony 'The Snake' used the 6-inch ceramic blade at 9:50 AM. However, you purposefully left the steam room door unlocked for Tony using your master keycard in exchange for a sworn promise that your family would be left alone. You must hide your complicity, pretending you lost your keycard around 9:30 AM, and act like it was a normal workday."
