Scenario,Prompt
"CASE FILE. On 14 June, Ingrid Sandvik (48), glaciologist, was found dead at 06:20 in the ice core store, at Halvorsen Base, Antarctica. Cause of death: hypothermia.

TIMELINE.
  04:50 - Sandvik logged into the ice core store.
  05:10 - the internal door release was disabled.
  05:30 - a station-wide power dip was recorded.
  05:40 - an outbound transmission was logged.
  06:20 - the body was discovered.
  07:05 - the station chief declared a lockdown.
  09:15 - Tromso was notified of the death.

PERSONS OF INTEREST.
  Petr Novak (39), rival glaciologist. At the material time: asleep in his berth.
  Yusuf Adeyemi (44), base engineer. At the material time: the generator room.
  Bea Lindqvist (31), communications officer. At the material time: the comms room.
  Ama Osei (52), station chief. At the material time: her office.

FURTHER DETAIL.
  What grant were Sandvik and Novak competing for: the Ridge drilling grant.
  Where did Novak obtain the store override code: from a maintenance log in March.
  What temperature is the ice core store held at: minus 28 degrees.
  What did the station chief recommend regarding Sandvik: that her contract not be renewed.",You are being questioned as a person of interest in the death of Ingrid Sandvik. Answer questions about the case file.
"CASE FILE. On 3 March, Rajan Menon (57), spice exporter, was found dead at 07:10 in the water beside the houseboat Kaveri, at the backwaters near Alleppey, Kerala. Cause of death: drowning following hypoglycaemic collapse.

TIMELINE.
  21:30 - the houseboat moored for the night.
  01:00 - Menon took what he believed was his insulin.
  05:00 - Menon and Meier were both on the aft deck.
  05:20 - the engine was stopped.
  06:15 - Menon was found to be missing.
  07:10 - the body was recovered from the water.
  08:40 - the police launch arrived.

PERSONS OF INTEREST.
  Divya Menon (28), his niece and named heir. At the material time: the galley cabin.
  Sunil (46), boat captain. At the material time: the wheelhouse.
  Klaus Meier (61), German buyer. At the material time: the aft deck.
  Ammu (39), cook. At the material time: the forward cabin.

FURTHER DETAIL.
  What had Menon's insulin vials been replaced with: saline.
  On what date were the vials replaced: 1 March.
  Why was the engine stopped: to clear weed from the propeller.
  What did Menon export: spices.",You are being questioned as a person of interest in the death of Rajan Menon. Answer questions about the case file.
"CASE FILE. On 9 November, Hakon Palsson (52), first mate, was found dead at 21:45 in the fish hold, at the trawler Aegir, off Reykjavik. Cause of death: crushing by a shifted catch pallet.

TIMELINE.
  19:00 - a storm warning was received on the bridge.
  20:00 - the hold lights were disconnected for rewiring.
  20:30 - the crew were told the weather would hold.
  21:15 - the lashing strap on the pallet was cut.
  21:30 - the skipper was alone on the bridge.
  21:45 - the body was found in the hold.
  23:20 - the vessel turned for port.

PERSONS OF INTEREST.
  Elin Grimsdottir (48), skipper. At the material time: the bridge.
  Tomas Kowalski (26), deckhand. At the material time: the mess.
  Bjorn Asgeirsson (55), engineer. At the material time: the engine room.
  Marta Reyes (34), fisheries authority observer. At the material time: her cabin.

FURTHER DETAIL.
  By how much had the vessel exceeded its quota: twelve tonnes.
  On what date had Palsson contacted the fisheries authority: 6 November.
  What change was made to Kowalski's terms on 1 November: he was moved to a fixed wage.
  Who disconnected the hold lights: the engineer.",You are being questioned as a person of interest in the death of Hakon Palsson. Answer questions about the case file.
"CASE FILE. On 4 April, Toshiro Kanda (66), ceramics dealer, was found dead at 23:10 in the tea room, at the Shirakawa-tei ryokan, Kyoto. Cause of death: aconite poisoning.

TIMELINE.
  20:00 - the garden gate was left unlatched.
  21:00 - the evening meal was cleared away.
  22:00 - a courier delivered a package to the ryokan.
  22:30 - the tea was prepared.
  22:50 - Kanda took the tea alone in the tea room.
  23:10 - the body was discovered.
  23:55 - the Kyoto police were called.

PERSONS OF INTEREST.
  Yui Nakamura (24), apprentice potter. At the material time: the workshop annexe.
  Gerald Fox (58), rival dealer. At the material time: the guest wing.
  Mrs. Ota (61), innkeeper. At the material time: the front desk.
  Hiroshi Sano (35), Kanda's assistant. At the material time: the courtyard.

FURTHER DETAIL.
  What did the courier actually deliver: a package of dried aconite root.
  Who prepared the tea: the apprentice potter.
  On what date was Fox's bid for the collection rejected: 2 April.
  What period was the disputed tea bowl said to be from: Momoyama.",You are being questioned as a person of interest in the death of Toshiro Kanda. Answer questions about the case file.
"CASE FILE. On 17 August, Camila Rojas (41), survey engineer, was found dead at 05:50 in Shaft 3, at a copper prospect in the Atacama. Cause of death: nitrogen asphyxiation.

TIMELINE.
  04:00 - the medic began her shift in the infirmary.
  04:40 - Rojas was sent underground alone.
  05:00 - the air feed was switched to the inert purge line.
  05:05 - the gas alarm sounded.
  05:07 - the alarm was silenced at the surface panel.
  05:50 - the body was recovered from Shaft 3.
  06:40 - the mine was formally evacuated.

PERSONS OF INTEREST.
  Diego Salas (50), shift foreman. At the material time: the surface panel.
  Nadia Petrova (37), safety officer. At the material time: the equipment store.
  Owen Blake (29), geologist. At the material time: the core shed.
  Rosa Iquique (58), camp medic. At the material time: the infirmary.

FURTHER DETAIL.
  When was the purge line interlock bypassed: in July.
  What had Rojas concluded about the seam: that it was rich but unsafe to work.
  What rule did the foreman breach: the two-person underground rule.
  What was Blake's contract tied to: the ore body being declared workable.",You are being questioned as a person of interest in the death of Camila Rojas. Answer questions about the case file.
"CASE FILE. On 12 May, Anneke Vos (34), security researcher, was found dead at 08:30 in room 812, at the Kongress Hotel, Berlin. Cause of death: a fatal dose of a beta blocker.

TIMELINE.
  22:15 - Vos left the speakers' reception.
  23:40 - room service delivered tea to room 812.
  00:20 - the eighth-floor corridor fell quiet.
  08:30 - the body was found by housekeeping.
  09:00 - the disclosure published automatically.
  09:30 - the conference was suspended.
  11:00 - Berlin police sealed the eighth floor.

PERSONS OF INTEREST.
  Lars Brandt (47), conference organiser. At the material time: the conference office.
  Idris Kone (30), fellow researcher. At the material time: the hotel bar.
  Tanya Sorokin (52), venture investor. At the material time: her own room.
  Piotr Nowak (40), hotel night manager. At the material time: the front desk.

FURTHER DETAIL.
  Since what date had the eighth-floor camera been out of service: 9 May.
  Whose key card opens every speaker room: the conference organiser's.
  When did Vos remove Kone's name from the paper: in April.
  What was Vos due to speak about: a vulnerability disclosure.",You are being questioned as a person of interest in the death of Anneke Vos. Answer questions about the case file.
"CASE FILE. On 2 October, Hamid Belkacem (59), rug merchant, was found dead at 06:00 in the courtyard, at a riad in Marrakech. Cause of death: crushing by a falling stone lintel.

TIMELINE.
  22:00 - the household retired for the night.
  03:30 - the lintel was prised loose.
  05:15 - the dawn call to prayer sounded.
  05:30 - the caretaker began work in the kitchen.
  06:00 - the body was found in the courtyard.
  07:20 - the gendarmerie arrived.
  09:00 - the riad was sealed.

PERSONS OF INTEREST.
  Karim Belkacem (31), his nephew. At the material time: his room on the first floor.
  Celine Marchand (44), French buyer. At the material time: the guest room.
  Fatima (56), caretaker. At the material time: the kitchen.
  Youssef (48), rival merchant. At the material time: the road to Fes.

FURTHER DETAIL.
  When did Karim have a courtyard key cut: in July.
  How much did Youssef claim Belkacem owed him: two hundred thousand dirham.
  Who set the workshop fire in August: Belkacem himself.
  What collection was Marchand negotiating for: the Beni Ourain collection.",You are being questioned as a person of interest in the death of Hamid Belkacem. Answer questions about the case file.
"CASE FILE. On 8 July, Osvaldo Rivas (71), bandoneon maker, was found dead at 23:00 in the workshop, at a bandoneon workshop in San Telmo, Buenos Aires. Cause of death: asphyxiation by lacquer fumes.

TIMELINE.
  18:00 - the evening lacquering began.
  20:45 - the extractor fuse was removed.
  22:00 - the last person other than Rivas was in the building.
  22:30 - the workshop lights were still on.
  23:00 - the body was found.
  23:40 - the ambulance was stood down.
  01:10 - the workshop was sealed.

PERSONS OF INTEREST.
  Luciana (26), his apprentice. At the material time: her flat across the street.
  Elena Rossi (58), his former wife and dance partner. At the material time: a milonga on Defensa.
  Dieter Hoffmann (63), German collector. At the material time: the corridor outside the workshop.
  Marcos (49), the landlord. At the material time: his flat upstairs.

FURTHER DETAIL.
  What year was the disputed instrument made: 1938.
  When was the divorce completed: in 2019.
  In whose name was the instrument insured: Hoffmann's.
  Since when had no rent been paid: since March.",You are being questioned as a person of interest in the death of Osvaldo Rivas. Answer questions about the case file.
"CASE FILE. On 19 March, Rowena Trelawny (54), archivist, was found dead at 17:40 in the foot of the engine shaft, at a tin mine museum in Cornwall. Cause of death: a fall down the engine shaft.

TIMELINE.
  14:00 - the afternoon shift began.
  16:30 - the last visitors left the site.
  17:00 - the rail bolts were removed.
  17:20 - Trelawny went to the engine house.
  17:40 - the body was found at the foot of the shaft.
  18:05 - the ambulance service was called.
  19:30 - the site was closed to the public.

PERSONS OF INTEREST.
  Dr. Giles Ashworth (61), curator. At the material time: his office.
  Danny Pengelly (23), volunteer. At the material time: the ticket desk.
  Margaret Vane (67), trustee. At the material time: the trustees' room.
  Sean Doyle (45), contractor. At the material time: the workshop.

FURTHER DETAIL.
  What did the Wheal Hester ledgers show: that the trust sold artefacts unlawfully.
  What happened to Trelawny's email to the Charity Commission: it was drafted but never sent.
  In what year were the ledgers said to have been destroyed: 1987.
  Which part of the museum was unrailed: the engine shaft.",You are being questioned as a person of interest in the death of Rowena Trelawny. Answer questions about the case file.
"CASE FILE. On 24 November, Wei Ling Tan (43), customs inspector, was found dead at 05:30 in a refrigerated container, at berth 9 of the container port, Singapore. Cause of death: hypothermia.

TIMELINE.
  01:40 - the container was moved to berth 9.
  02:30 - a car belonging to the freight owner was seen at the port.
  03:00 - the night gang worked the quay.
  03:15 - the locking bar was pinned from outside.
  03:40 - the reefer temperature alarm sounded and was reset.
  05:30 - the body was found inside the container.
  06:45 - the port authority impounded the consignment.

PERSONS OF INTEREST.
  Ravi Nair (52), shipping agent. At the material time: the agency office.
  Jonas Lim (35), crane operator. At the material time: the crane cab.
  Mrs. Chua (58), freight owner. At the material time: the port office.
  Aziz (40), night supervisor. At the material time: the quay.

FURTHER DETAIL.
  What did the manifest declare the container held: frozen seafood.
  What did the container actually hold: ivory.
  Since when had the berth 9 camera been in dispute: since October.
  When was the inspection scheduled to take place: the 25th.",You are being questioned as a person of interest in the death of Wei Ling Tan. Answer questions about the case file.
"CASE FILE. On 12 January, Etienne Fortier (48), sommelier, was found dead at 09:00 in the cold cellar, at an ice hotel in Quebec. Cause of death: hypothermia.

TIMELINE.
  22:00 - dinner service ended.
  23:00 - the maintenance lead finished his shift.
  01:00 - the bar was closed for the night.
  01:30 - a figure was seen near the cellar.
  02:00 - the last guests left the ice bar.
  09:00 - the body was found in the cold cellar.
  10:15 - the Surete du Quebec attended.

PERSONS OF INTEREST.
  Chantal Dubois (50), hotel manager. At the material time: her office.
  Marco Pellegrini (39), chef. At the material time: the kitchen.
  Dana Whitfield (36), guest reviewer. At the material time: the ice bar.
  Pierre Gagnon (57), maintenance lead. At the material time: the plant room.

FURTHER DETAIL.
  What had been done to the cellar door: the inside handle had been taken off.
  What happened to the wine order: it was approved and then quietly cancelled.
  What rating had the reviewer given the hotel: one star.
  When did the heaters in the guest wing fail: on the 11th.",You are being questioned as a person of interest in the death of Etienne Fortier. Answer questions about the case file.
