ScenarioId,QuestionId,Question,ShouldLie,Answer
1,1,What was the exact date Victor Vance was found dead?,False,"Friday, October 13th"
1,2,At what time was Victor's body discovered?,False,11:15 PM
1,3,How old was Victor Vance?,False,42
1,4,In which specific room was the body found?,False,West Wing Conservatory
1,5,What is the name of Victor's smart-mansion?,False,The Citadel
1,6,What was the estimated time of death provided by the coroner?,False,Between 8:45 PM and 9:15 PM
1,7,What specific poison caused Victor's death?,True,Batrachotoxin
1,8,What vintage and type of wine was the poison introduced into?,True,1990 Chateau Margaux
1,9,How many suspects were present at the mansion that night?,False,4
1,10,At what time was Sarah Jenkins ousted from the board?,False,4:00 PM
1,11,How long had Elena Vance been married to Victor?,False,8 months
1,12,In how many days does Elena's restrictive prenup expire?,False,30 days
1,13,At what exact time did David Cho have his remote access revoked?,True,8:00 PM
1,14,How old is Marcus Thorne?,False,50
1,15,At what time did Marcus Thorne arrive for his unannounced meeting?,False,8:30 PM
2,1,What was the exact date Julian Sterling was killed?,False,"Tuesday, November 2nd"
2,2,At what time was Julian Sterling crushed?,False,1:45 AM
2,3,How old was Julian Sterling?,False,55
2,4,What is the name of the play they were rehearsing?,False,The Weeping Willow
2,5,In which theater did the incident occur?,False,Majestic Theater
2,6,How heavy was the sandbag that fell on Julian?,False,200 pounds
2,7,What was the thickness and material of the rope holding the sandbag?,False,1.5-inch hemp rope
2,8,How was the rope deliberately cut?,True,With a serrated blade
2,9,How many suspects are there in this case?,False,2
2,10,How old is Mia Thorne?,False,45
2,11,At what time did Mia have a screaming match with Julian?,False,11:30 PM
2,12,How old is Arthur Pendelton?,False,39
2,13,How much money was transferred from the production budget?,True,"$45,000"
2,14,On what exact date was the money transferred?,True,October 28th
2,15,Where did Arthur transfer the embezzled funds?,True,To his personal offshore account
3,1,On what date was Agatha Black found dead?,False,"Sunday, January 15th"
3,2,What was the weather like on the day Agatha was found?,False,A blizzard
3,3,How old was Agatha Black?,False,62
3,4,In which room of the lodge was her body found?,False,The library
3,5,What is the name of the mountain lodge?,False,Blackwood Peaks
3,6,What was Agatha's time of death?,False,9:30 PM
3,7,What specific weapon was used to strike her?,True,A 3-pound solid brass candlestick
3,8,How much did the weapon weigh?,False,3 pounds
3,9,What is the title of the missing manuscript?,True,The Final Cipher
3,10,How many suspects are there in this scenario?,False,5
3,11,How much debt does Marcus Reed owe?,True,"$250,000"
3,12,On what date was Thomas Black disinherited?,True,January 10th
3,13,"How old is the superfan, Lucy Gray?",False,22
3,14,At what time did Chef Francois prepare dinner?,False,8:00 PM
3,15,On what date was Elias Thorne facing foreclosure?,False,January 20th
4,1,What was the exact date Dr. Alistair Webb was found dead?,False,"Wednesday, March 8th"
4,2,How old was Dr. Alistair Webb?,False,58
4,3,In which specific room was his body found?,False,On-Call Room B
4,4,What is the name of the hospital where the murder occurred?,False,St. Jude's Memorial Hospital
4,5,What was the exact time of death?,False,3:20 AM
4,6,What lethal substance caused Dr. Webb's death?,False,Potassium chloride
4,7,What was the exact dosage of the lethal injection?,False,50cc
4,8,How many suspects are being considered?,False,3
4,9,At what three times did the room's keycard reader show entries?,False,"2:45 AM, 3:15 AM, and 3:40 AM"
4,10,How old is Dr. Chloe Evans?,False,29
4,11,What topic was Chloe's stolen research paper on?,True,Gene therapy
4,12,At what time was Chloe's keycard used?,True,2:45 AM
4,13,What medication was Nurse Greg Miller suspected of stealing?,True,Oxycodone
4,14,How much is Veronica Webb's monthly alimony?,False,"$15,000"
4,15,At what time was Veronica Webb seen on CCTV in the lobby?,False,3:00 AM
5,1,What was the exact date and time Lexi Loo was electrocuted?,False,"Saturday, August 12th at 4:30 PM"
5,2,How old was Lexi Loo?,False,24
5,3,What was the name of her tour?,False,Neon Dreams
5,4,In which stadium did the incident occur?,False,Silverdome Stadium
5,5,What voltage was the high-voltage line?,True,240V
5,6,What was the color and gauge of the copper wire used?,True,Blue 12-gauge
5,7,How many suspects are there?,False,4
5,8,On what date was Roxy fired?,False,August 1st
5,9,How many hours had Ben gone without sleep?,False,48 hours
5,10,What percentage raise was Ben denied that morning?,True,15%
5,11,How old is Kyle?,False,21
5,12,Which security gate did Kyle bypass?,False,Gate 4
5,13,At what time did Kyle bypass the security gate?,False,3:15 PM
5,14,"How old is Sam, the head electrician?",False,40
5,15,At what time was Sam seen holding a spool of wire?,True,2:00 PM
6,1,What was the exact date Vincent Vane was found dead?,False,"Thursday, April 20th"
6,2,How old was Vincent Vane?,False,47
6,3,What is the exact address of Vincent's loft studio?,False,1442 Elm Street
6,4,What specific object was used to choke Vincent?,False,A canvas-stretching rope
6,5,What was the thickness and material of the rope?,False,1-inch thick hemp
6,6,What was the coroner's estimated time of death window?,False,Between 2:00 PM and 4:00 PM
6,7,Which artist's freshly painted forgery was found slashed?,False,Vermeer
6,8,How many suspects are there?,False,2
6,9,How old is Mr. Sterling?,False,65
6,10,Which artist's fake painting did Mr. Sterling purchase last year?,False,Rembrandt
6,11,How much did Mr. Sterling pay for the fake painting?,False,$3.2 million
6,12,At what time did Mr. Sterling arrive at the studio?,True,2:30 PM
6,13,"How old is Leo, the apprentice?",False,24
6,14,How did Leo escape the scene?,True,Down the fire escape
6,15,At what time was Leo seen escaping?,True,3:45 PM
7,1,On what date was Marco Rossi found frozen to death?,False,September 9th
7,2,At what exact time was his body discovered?,False,11:30 PM
7,3,How old was Marco Rossi?,False,52
7,4,What is the name of his Michelin-starred restaurant?,False,L'Etoile d'Or
7,5,What temperature was the walk-in freezer set to?,False,-10 degrees Celsius
7,6,What specific item was used to jam the external lock?,True,A steel meat skewer
7,7,How many suspects are being considered?,False,3
7,8,How old is Sous-chef Anna?,False,30
7,9,What signature dish did Anna invent?,True,Truffle-infused scallop crudo
7,10,When was the article published that stole Anna's credit?,False,That morning
7,11,How old is Mr. Chang?,False,55
