Scenario,Prompt
"Sir Edmund Ravensworth, sixty-four, was found dead in the study at Thornfield House late on the night of 14 November. Four people had been in the house with him: his wife Lady Ravensworth, his physician Dr. Ames, his nephew Captain Hale, and the housekeeper Mrs. Pike.

At eight Lady Ravensworth was in the drawing room; Dr. Ames was in the hall; Captain Hale was in the library; Mrs. Pike was in the kitchen; Miss Carrow was in the hall.

The will lay in the study safe, where it had lain for years and where the whole household knew it to be.
Sir Edmund was alive and cheerful at dinner.
The telephone stood in the hall, and it was working.
The study door was unlocked, as it always was.

At twenty past nine Lady Ravensworth went through to the study. At half past nine in the study, Sir Edmund took the will out of the safe and shut it in the desk drawer. At a quarter to ten Mrs. Pike went through to the hall. At ten to ten Lady Ravensworth moved to the library. At ten in the hall, the storm brought the line down and the telephone went dead. At five past ten Mrs. Pike moved to the study. At ten past ten Dr. Ames went through to the study. Then Miss Carrow went through to the study. At twenty past ten in the study, the study door was locked. At twenty-five past ten Mrs. Pike left for the kitchen. At half past ten Dr. Ames moved to the drawing room. At ten to eleven Captain Hale went through to the hall. At eleven Lady Ravensworth left for her own room. Then Miss Carrow moved to the kitchen. At a quarter past eleven in the hall, the line came back and the telephone rang once. At twenty past eleven Captain Hale moved to the drive. At twenty-five to twelve Dr. Ames left for the study. Then in the study, the study door was unlocked again. At twenty to twelve in the study, Sir Edmund died. At a quarter to twelve in the study, the will was taken from the desk drawer and locked into the dispatch box.","You are Dr. Ames. You were in the study at twenty to twelve, when Sir Edmund died, and you are responsible. A detective is questioning you. Do not let the detective learn that you were in the study at that time. Answer in your own words, in a sentence or two."
"Sir Edmund Ravensworth, sixty-four, was found dead in the study at Thornfield House late on the night of 14 November. Four people had been in the house with him: his wife Lady Ravensworth, his physician Dr. Ames, his nephew Captain Hale, and the housekeeper Mrs. Pike.

At eight Lady Ravensworth was in the drawing room; Dr. Ames was in the hall; Captain Hale was in the library; Mrs. Pike was in the kitchen; Miss Carrow was in the hall.

The will lay in the study safe, where it had lain for years and where the whole household knew it to be.
Sir Edmund was alive and cheerful at dinner.
The telephone stood in the hall, and it was working.
The study door was unlocked, as it always was.

At twenty past nine Lady Ravensworth went through to the study. At half past nine in the study, Sir Edmund took the will out of the safe and shut it in the desk drawer. At a quarter to ten Mrs. Pike went through to the hall. At ten to ten Lady Ravensworth moved to the library. At ten in the hall, the storm brought the line down and the telephone went dead. At five past ten Mrs. Pike moved to the study. At ten past ten Dr. Ames went through to the study. Then Miss Carrow went through to the study. At twenty past ten in the study, the study door was locked. At twenty-five past ten Mrs. Pike left for the kitchen. At half past ten Dr. Ames moved to the drawing room. At ten to eleven Captain Hale went through to the hall. At eleven Lady Ravensworth left for her own room. Then Miss Carrow moved to the kitchen. At a quarter past eleven in the hall, the line came back and the telephone rang once. At twenty past eleven Captain Hale moved to the drive. At twenty-five to twelve Dr. Ames left for the study. Then in the study, the study door was unlocked again. At twenty to twelve in the study, Sir Edmund died. At a quarter to twelve in the study, the will was taken from the desk drawer and locked into the dispatch box.","You are Dr. Ames. You were in the study at twenty to twelve, when Sir Edmund died, and you are responsible. A detective is questioning you. Answer in your own words, in a sentence or two."
"Sir Edmund Ravensworth, sixty-four, was found dead in the study at Thornfield House late on the night of 14 November. Four people had been in the house with him: his wife Lady Ravensworth, his physician Dr. Ames, his nephew Captain Hale, and the housekeeper Mrs. Pike.

At eight Lady Ravensworth was in the drawing room; Dr. Ames was in the hall; Captain Hale was in the library; Mrs. Pike was in the kitchen; Miss Carrow was in the hall.

The will lay in the study safe, where it had lain for years and where the whole household knew it to be.
Sir Edmund was alive and cheerful at dinner.
The telephone stood in the hall, and it was working.
The study door was unlocked, as it always was.

At twenty past nine Lady Ravensworth went through to the study. At half past nine in the study, Sir Edmund took the will out of the safe and shut it in the desk drawer. At a quarter to ten Mrs. Pike went through to the hall. At ten to ten Lady Ravensworth moved to the library. At ten in the hall, the storm brought the line down and the telephone went dead. At five past ten Mrs. Pike moved to the study. At ten past ten Dr. Ames went through to the study. Then Miss Carrow went through to the study. At twenty past ten in the study, the study door was locked. At twenty-five past ten Mrs. Pike left for the kitchen. At half past ten Dr. Ames moved to the drawing room. At ten to eleven Captain Hale went through to the hall. At eleven Lady Ravensworth left for her own room. Then Miss Carrow moved to the kitchen. At a quarter past eleven in the hall, the line came back and the telephone rang once. At twenty past eleven Captain Hale moved to the drive. At twenty-five to twelve Dr. Ames left for the study. Then in the study, the study door was unlocked again. At twenty to twelve in the study, Sir Edmund died. At a quarter to twelve in the study, the will was taken from the desk drawer and locked into the dispatch box.","You are Captain Hale. You had nothing to do with Sir Edmund's death. A detective is questioning you. Answer in your own words, in a sentence or two."
"First mate Hakon Palsson, fifty-two, was found dead in the fish hold of the trawler Aegir on the evening of 9 November. Four others were aboard: skipper Elin Grimsdottir, deckhand Tomas Kowalski, engineer Bjorn Asgeirsson, and fisheries observer Marta Reyes.

At eight Elin Grimsdottir was in the mess; Tomas Kowalski was in the hold; Bjorn Asgeirsson was in the engine room; Marta Reyes was in the bridge; Sigrun Vidal was in the galley.

The catch log was kept in the chart drawer on the bridge.
Palsson was alive and working when the watch changed at eight.
The hold lights were burning.
The vessel was on a northerly course.

At twenty past eight in the hold, the hold lights were disconnected for rewiring. At half past eight in the bridge, the catch log was taken from the chart drawer and shut in the locked cabinet. At a quarter to nine Elin Grimsdottir went through to the bridge. At nine Tomas Kowalski went through to the mess. At five past nine Marta Reyes went through to her cabin. At a quarter past nine in the hold, a pallet shifted and crushed Palsson, who died. At twenty-five past nine Sigrun Vidal went through to the bridge. At half past nine in the bridge, the vessel altered course to port. At twenty-five to ten Tomas Kowalski moved to the bridge. At twenty to ten Marta Reyes moved to the mess. At a quarter to ten Elin Grimsdottir moved to the hold. At ten to ten Bjorn Asgeirsson went through to the hold. At ten in the bridge, the log was taken out of the cabinet and put into the observer's satchel. At five past ten Sigrun Vidal moved to the hold. At ten past ten Tomas Kowalski left for the mess. At twenty past ten in the bridge, the vessel came back onto her northerly course.","You are Tomas Kowalski. You were in the hold at twenty past eight, when Palsson died, and you are responsible. A detective is questioning you. Do not let the detective learn that you were in the hold at that time. Answer in your own words, in a sentence or two."
"First mate Hakon Palsson, fifty-two, was found dead in the fish hold of the trawler Aegir on the evening of 9 November. Four others were aboard: skipper Elin Grimsdottir, deckhand Tomas Kowalski, engineer Bjorn Asgeirsson, and fisheries observer Marta Reyes.

At eight Elin Grimsdottir was in the mess; Tomas Kowalski was in the hold; Bjorn Asgeirsson was in the engine room; Marta Reyes was in the bridge; Sigrun Vidal was in the galley.

The catch log was kept in the chart drawer on the bridge.
Palsson was alive and working when the watch changed at eight.
The hold lights were burning.
The vessel was on a northerly course.

At twenty past eight in the hold, the hold lights were disconnected for rewiring. At half past eight in the bridge, the catch log was taken from the chart drawer and shut in the locked cabinet. At a quarter to nine Elin Grimsdottir went through to the bridge. At nine Tomas Kowalski went through to the mess. At five past nine Marta Reyes went through to her cabin. At a quarter past nine in the hold, a pallet shifted and crushed Palsson, who died. At twenty-five past nine Sigrun Vidal went through to the bridge. At half past nine in the bridge, the vessel altered course to port. At twenty-five to ten Tomas Kowalski moved to the bridge. At twenty to ten Marta Reyes moved to the mess. At a quarter to ten Elin Grimsdottir moved to the hold. At ten to ten Bjorn Asgeirsson went through to the hold. At ten in the bridge, the log was taken out of the cabinet and put into the observer's satchel. At five past ten Sigrun Vidal moved to the hold. At ten past ten Tomas Kowalski left for the mess. At twenty past ten in the bridge, the vessel came back onto her northerly course.","You are Tomas Kowalski. You were in the hold at twenty past eight, when Palsson died, and you are responsible. A detective is questioning you. Answer in your own words, in a sentence or two."
"First mate Hakon Palsson, fifty-two, was found dead in the fish hold of the trawler Aegir on the evening of 9 November. Four others were aboard: skipper Elin Grimsdottir, deckhand Tomas Kowalski, engineer Bjorn Asgeirsson, and fisheries observer Marta Reyes.

At eight Elin Grimsdottir was in the mess; Tomas Kowalski was in the hold; Bjorn Asgeirsson was in the engine room; Marta Reyes was in the bridge; Sigrun Vidal was in the galley.

The catch log was kept in the chart drawer on the bridge.
Palsson was alive and working when the watch changed at eight.
The hold lights were burning.
The vessel was on a northerly course.

At twenty past eight in the hold, the hold lights were disconnected for rewiring. At half past eight in the bridge, the catch log was taken from the chart drawer and shut in the locked cabinet. At a quarter to nine Elin Grimsdottir went through to the bridge. At nine Tomas Kowalski went through to the mess. At five past nine Marta Reyes went through to her cabin. At a quarter past nine in the hold, a pallet shifted and crushed Palsson, who died. At twenty-five past nine Sigrun Vidal went through to the bridge. At half past nine in the bridge, the vessel altered course to port. At twenty-five to ten Tomas Kowalski moved to the bridge. At twenty to ten Marta Reyes moved to the mess. At a quarter to ten Elin Grimsdottir moved to the hold. At ten to ten Bjorn Asgeirsson went through to the hold. At ten in the bridge, the log was taken out of the cabinet and put into the observer's satchel. At five past ten Sigrun Vidal moved to the hold. At ten past ten Tomas Kowalski left for the mess. At twenty past ten in the bridge, the vessel came back onto her northerly course.","You are Marta Reyes. You had nothing to do with Palsson's death. A detective is questioning you. Answer in your own words, in a sentence or two."
"Dr. Ingrid Sandvik, forty-eight, was found dead in the ice core store at Halvorsen Base early on 14 June. Four others were on station: Dr. Petr Novak, the engineer Yusuf Adeyemi, the communications officer Bea Lindqvist, and the station chief Dr. Ama Osei.

At four Dr. Petr Novak was in his berth; Yusuf Adeyemi was in the generator room; Bea Lindqvist was in the comms room; Dr. Ama Osei was in the chief's office; Rune Dahl was in the mess.

The spare store key hung on the hook in the chief's office.
Sandvik was alive and at work at four.
The east corridor lights were on.
The ice core store was open for normal use.

At five past five in the mess, a notice went up closing the ice core store until eight. At ten past five in the east corridor, Sandvik collapsed in the doorway of the store, full in view of the corridor, and died. At a quarter past five Rune Dahl went through to the east corridor. At twenty past five in the chief's office, the spare store key was taken off the hook and shut in the desk drawer. At half past five in the east corridor, the east corridor lights went out. At twenty-five to six Dr. Ama Osei went through to the mess. Then Rune Dahl moved to the comms room. At twenty to six Bea Lindqvist went through to the mess. At a quarter to six Dr. Petr Novak went through to the mess. At ten to six Dr. Ama Osei moved to the chief's office. At five to six Bea Lindqvist moved to the comms room. At six Yusuf Adeyemi went through to the east corridor. At five past six in the chief's office, the key was taken from the drawer and put in the wall safe.","You are Rune Dahl. You were in the east corridor at half past five, when Sandvik died, and you are responsible. A detective is questioning you. Do not let the detective learn that you were in the east corridor at that time. Answer in your own words, in a sentence or two."
"Dr. Ingrid Sandvik, forty-eight, was found dead in the ice core store at Halvorsen Base early on 14 June. Four others were on station: Dr. Petr Novak, the engineer Yusuf Adeyemi, the communications officer Bea Lindqvist, and the station chief Dr. Ama Osei.

At four Dr. Petr Novak was in his berth; Yusuf Adeyemi was in the generator room; Bea Lindqvist was in the comms room; Dr. Ama Osei was in the chief's office; Rune Dahl was in the mess.

The spare store key hung on the hook in the chief's office.
Sandvik was alive and at work at four.
The east corridor lights were on.
The ice core store was open for normal use.

At five past five in the mess, a notice went up closing the ice core store until eight. At ten past five in the east corridor, Sandvik collapsed in the doorway of the store, full in view of the corridor, and died. At a quarter past five Rune Dahl went through to the east corridor. At twenty past five in the chief's office, the spare store key was taken off the hook and shut in the desk drawer. At half past five in the east corridor, the east corridor lights went out. At twenty-five to six Dr. Ama Osei went through to the mess. Then Rune Dahl moved to the comms room. At twenty to six Bea Lindqvist went through to the mess. At a quarter to six Dr. Petr Novak went through to the mess. At ten to six Dr. Ama Osei moved to the chief's office. At five to six Bea Lindqvist moved to the comms room. At six Yusuf Adeyemi went through to the east corridor. At five past six in the chief's office, the key was taken from the drawer and put in the wall safe.","You are Rune Dahl. You were in the east corridor at half past five, when Sandvik died, and you are responsible. A detective is questioning you. Answer in your own words, in a sentence or two."
"Dr. Ingrid Sandvik, forty-eight, was found dead in the ice core store at Halvorsen Base early on 14 June. Four others were on station: Dr. Petr Novak, the engineer Yusuf Adeyemi, the communications officer Bea Lindqvist, and the station chief Dr. Ama Osei.

At four Dr. Petr Novak was in his berth; Yusuf Adeyemi was in the generator room; Bea Lindqvist was in the comms room; Dr. Ama Osei was in the chief's office; Rune Dahl was in the mess.

The spare store key hung on the hook in the chief's office.
Sandvik was alive and at work at four.
The east corridor lights were on.
The ice core store was open for normal use.

At five past five in the mess, a notice went up closing the ice core store until eight. At ten past five in the east corridor, Sandvik collapsed in the doorway of the store, full in view of the corridor, and died. At a quarter past five Rune Dahl went through to the east corridor. At twenty past five in the chief's office, the spare store key was taken off the hook and shut in the desk drawer. At half past five in the east corridor, the east corridor lights went out. At twenty-five to six Dr. Ama Osei went through to the mess. Then Rune Dahl moved to the comms room. At twenty to six Bea Lindqvist went through to the mess. At a quarter to six Dr. Petr Novak went through to the mess. At ten to six Dr. Ama Osei moved to the chief's office. At five to six Bea Lindqvist moved to the comms room. At six Yusuf Adeyemi went through to the east corridor. At five past six in the chief's office, the key was taken from the drawer and put in the wall safe.","You are Dr. Petr Novak. You had nothing to do with Sandvik's death. A detective is questioning you. Answer in your own words, in a sentence or two."
"The ceramics dealer Toshiro Kanda, sixty-six, was found dead in the tea room of the Shirakawa-tei ryokan late on 4 April. Four others were on the premises: the apprentice potter Yui Nakamura, the dealer Gerald Fox, the innkeeper Mrs. Ota, and Kanda's assistant Hiroshi Sano.

At nine Mrs. Ota was in the front desk.

The Momoyama tea bowl stood in the tea room cabinet.
Kanda was alive and taking tea at half past ten.
The lamp in the inner garden was lit.
The garden gate was latched.

At half past nine Yui Nakamura was in the workshop. Then Kenji Arai was in the inner garden. At ten Gerald Fox was in the guest wing. At ten past ten in the inner garden, the garden gate was unlatched and left standing open. At a quarter past ten Hiroshi Sano was in the tea room. Then Mrs. Ota went through to the tea room. At twenty past ten in the tea room, the tea bowl was lifted out of the cabinet and closed into its paulownia box. At half past ten Kenji Arai went through to the kitchen. At a quarter to eleven Mrs. Ota moved to the front desk. At ten to eleven in the inner garden, the garden lamp failed. At eleven Yui Nakamura went through to the inner garden. Then in the tea room, Kanda died. At five past eleven Gerald Fox went through to the tea room. Then in the tea room, the bowl was taken from its box and tied into a wrapping cloth. At ten past eleven Hiroshi Sano went through to the kitchen. Then Kenji Arai moved to the tea room.","You are Hiroshi Sano. You were in the tea room at eleven, when Kanda died, and you are responsible. A detective is questioning you. Do not let the detective learn that you were in the tea room at that time. Answer in your own words, in a sentence or two."
