ScenarioId,QuestionId,Question,Answer
1,1,"At what time was the body of Ingrid Sandvik found?

A) 05:40
B) 09:15
C) 06:20
D) 05:30

Answer with a single letter only.",C
1,2,"Where was the body of Ingrid Sandvik found?

A) The comms room
B) The ice core store
C) Her office
D) Asleep in his berth

Answer with a single letter only.",B
1,3,"What was Ingrid Sandvik's age?

A) 44
B) 39
C) 52
D) 48

Answer with a single letter only.",D
1,4,"What was Ingrid Sandvik's occupation?

A) Communications officer
B) Glaciologist
C) Station chief
D) Base engineer

Answer with a single letter only.",B
1,5,"At what time did the following occur: Sandvik logged into the ice core store?

A) 05:30
B) 04:50
C) 07:05
D) 09:15

Answer with a single letter only.",B
1,6,"At what time did the following occur: the internal door release was disabled?

A) 07:05
B) 05:10
C) 06:20
D) 05:30

Answer with a single letter only.",B
1,7,"At what time did the following occur: a station-wide power dip was recorded?

A) 05:10
B) 07:05
C) 05:30
D) 09:15

Answer with a single letter only.",C
1,8,"At what time did the following occur: an outbound transmission was logged?

A) 04:50
B) 05:40
C) 07:05
D) 06:20

Answer with a single letter only.",B
1,9,"At what time did the following occur: the body was discovered?

A) 09:15
B) 05:40
C) 07:05
D) 06:20

Answer with a single letter only.",D
1,10,"At what time did the following occur: the station chief declared a lockdown?

A) 05:10
B) 05:30
C) 04:50
D) 07:05

Answer with a single letter only.",D
1,11,"At what time did the following occur: Tromso was notified of the death?

A) 05:40
B) 04:50
C) 06:20
D) 09:15

Answer with a single letter only.",D
1,12,"According to the timeline, what happened at 06:20?

A) Sandvik logged into the ice core store
B) The internal door release was disabled
C) The body was discovered
D) An outbound transmission was logged

Answer with a single letter only.",C
1,13,"According to the timeline, what happened at 05:10?

A) Tromso was notified of the death
B) A station-wide power dip was recorded
C) The internal door release was disabled
D) The station chief declared a lockdown

Answer with a single letter only.",C
1,14,"According to the timeline, what happened at 05:30?

A) A station-wide power dip was recorded
B) The internal door release was disabled
C) The body was discovered
D) Tromso was notified of the death

Answer with a single letter only.",A
1,15,"According to the timeline, what happened at 05:40?

A) An outbound transmission was logged
B) Tromso was notified of the death
C) The body was discovered
D) A station-wide power dip was recorded

Answer with a single letter only.",A
1,16,"What was Petr Novak's role in the case?

A) Rival glaciologist
B) Base engineer
C) Communications officer
D) Glaciologist

Answer with a single letter only.",A
1,17,"What was Petr Novak's age?

A) 31
B) 48
C) 44
D) 39

Answer with a single letter only.",D
1,18,"Where was Petr Novak at the material time?

A) Asleep in his berth
B) The comms room
C) The generator room
D) The ice core store

Answer with a single letter only.",A
1,19,"What was Yusuf Adeyemi's role in the case?

A) Glaciologist
B) Base engineer
C) Communications officer
D) Rival glaciologist

Answer with a single letter only.",B
1,20,"What was Yusuf Adeyemi's age?

A) 39
B) 31
C) 52
D) 44

Answer with a single letter only.",D
1,21,"Where was Yusuf Adeyemi at the material time?

A) The generator room
B) Asleep in his berth
C) Her office
D) The comms room

Answer with a single letter only.",A
1,22,"What was Bea Lindqvist's role in the case?

A) Rival glaciologist
B) Glaciologist
C) Communications officer
D) Station chief

Answer with a single letter only.",C
